frame,x,y
0,,
1,664.667,267.667
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,930.667,597.833
11,,
12,1326.56,272.333
13,1311.0,266.5
14,1293.5,263.7
15,1275.3,260.9
16,1255.0,259.5
17,,
18,,
19,,
20,,
21,1164.0,245.5
22,1143.0,245.5
23,1122.7,244.1
24,1108.0,246.2
25,1088.4,245.5
26,,
27,,
28,,
29,,
30,,
31,936.5,592.0
32,,
33,,
34,921.333,252.111
35,,
36,,
37,,
38,,
39,936.5,595.5
40,807.875,277.875
41,805.6,277.0
42,782.5,281.9
43,768.889,284.778
44,,
45,,
46,,
47,,
48,,
49,685.667,312.0
50,,
51,,
52,,
53,,
54,,
55,618.0,347.0
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,506.0,368.0
69,498.222,363.333
70,488.5,359.6
71,483.6,354.0
72,475.9,349.1
73,471.0,347.0
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,933.0,599.0
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,929.5,602.5
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,934.556,594.333
124,938.833,594.333
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,934.0,598.0
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,936.5,593.167
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,939.125,604.25
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,929.889,599.0
185,933.778,596.667
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,934.167,593.167
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,933.0,601.0
